country;population
Andorra;72786
United Arab Emirates;9086139
Afghanistan;31627506
Antigua and Barbuda;90900
Albania;2893654
Armenia;3006154
Angola;24227524
Argentina;42980026
American Samoa;55434
Austria;8541575
Australia;23464086
Aruba;103441
Azerbaijan;9535079
Bosnia and Herzegovina;3817554
Barbados;283380
Bangladesh;159077513
Belgium;11231213
Burkina Faso;17589198
Bulgaria;7223938
Bahrain;1361930
Burundi;10816860
Benin;10598482
Bermuda;65139
Brunei Darussalam;417394
Bolivia;10561887
Brazil;206077898
Bahamas, The;383054
Bhutan;765008
Botswana;2219937
Belarus;9483000
Belize;351706
Canada;35543658
Congo, Dem. Rep.;74877030
Central African Republic;4804316
Congo, Rep.;4504962
Switzerland;8188649
Cote d'Ivoire;22157107
Chile;17762647
Cameroon;22773014
China;1364270000
Colombia;47791393
Costa Rica;4757606
Cuba;11379111
Curacao;155909
Cyprus;1153658
Czech Republic;10525347
Germany;80982500
Djibouti;876174
Denmark;5643475
Dominica;72341
Dominican Republic;10405943
Algeria;38934334
Ecuador;15902916
Estonia;1314545
Egypt, Arab Rep.;89579670
Eritrea;
Spain;46480882
Ethiopia;96958732
Finland;5461512
Fiji;886450
Micronesia, Fed. Sts.;104044
France;66495940
Gabon;1687673
United Kingdom;64613160
Grenada;106349
Georgia;3727000
Ghana;26786598
Gibraltar;31997
Greenland;56295
Gambia, The;1928201
Guinea;12275527
Equatorial Guinea;820885
Greece;10892413
Guatemala;16015494
Guam;167543
Guinea-Bissau;1800513
Guyana;763893
Hong Kong SAR, China;7241700
Honduras;7961680
Croatia;4238389
Haiti;10572029
Hungary;9866468
Indonesia;254454778
Ireland;4617225
Israel;8215700
Isle of Man;87127
India;1295291543
Iraq;35273293
Iran, Islamic Rep.;78143644
Iceland;327386
Italy;60789140
Channel Islands;162917
Jamaica;2720554
Jordan;7416083
Japan;127131800
Kenya;44863583
Kyrgyz Republic;5835500
Cambodia;15328136
Kiribati;110470
Comoros;769991
St. Kitts and Nevis;54944
Korea, Rep.;50423955
Kuwait;3753121
Cayman Islands;59172
Kazakhstan;17289224
Lao PDR;6689300
Lebanon;5612096
St. Lucia;183645
Liechtenstein;37286
Sri Lanka;20771000
Liberia;4396554
Lesotho;2109197
Lithuania;2932367
Luxembourg;556319
Latvia;1993782
Libya;6258984
Morocco;33921203
Monaco;37623
Moldova;3556397
Montenegro;621810
St. Martin (French part);31530
Madagascar;23571713
Marshall Islands;52898
Macedonia, FYR;2075625
Mali;17086022
Myanmar;53437159
Mongolia;2909871
Macao SAR, China;577914
Northern Mariana Islands;54541
Mauritania;3969625
Malta;427364
Mauritius;1260934
Maldives;401000
Malawi;16695253
Mexico;125385833
Malaysia;29901997
Mozambique;27216276
Namibia;2402858
New Caledonia;268000
Niger;19113728
Nigeria;177475986
Nicaragua;6013913
Netherlands;16865008
Norway;5137232
Nepal;28174724
New Zealand;4509700
Oman;4236057
Panama;3867535
Peru;30973148
French Polynesia;279781
Papua New Guinea;7463577
Philippines;99138690
Pakistan;185044286
Poland;38011735
Puerto Rico;3534888
West Bank and Gaza;4294682
Portugal;10401062
Palau;21097
Paraguay;6552518
Qatar;2172065
Romania;19908979
Serbia;7130576
Russian Federation;143819569
Rwanda;11341544
Saudi Arabia;30886545
Solomon Islands;572171
Seychelles;91400
Sudan;39350274
Sweden;9696110
Singapore;5469724
Slovenia;2061980
Slovak Republic;5418649
Sierra Leone;6315627
San Marino;31595
Senegal;14672557
Somalia;10517569
Suriname;538248
South Sudan;11911184
Sao Tome and Principe;186342
El Salvador;6107706
Sint Maarten (Dutch part);37685
Syrian Arab Republic;18772481
Swaziland;1269112
Turks and Caicos Islands;33740
Chad;13587053
Togo;7115163
Thailand;67725979
Tajikistan;8295840
Timor-Leste;1212107
Turkmenistan;5307188
Tunisia;10996600
Tonga;105586
Turkey;77523788
Trinidad and Tobago;1354483
Tuvalu;9893
Tanzania;51822621
Ukraine;45362900
Uganda;37782971
United States;318907401
Uruguay;3419516
Uzbekistan;30757700
St. Vincent and the Grenadines;109360
Venezuela, RB;30693827
Virgin Islands (U.S.);104170
Vietnam;90728900
Vanuatu;258883
Samoa;191845
Yemen, Rep.;26183676
South Africa;54058647.3403884
Zambia;15721343
Zimbabwe;15245855
